author,observer,n,p50_ms,max_ms
ap-northeast-1,ap-southeast-2,1,904,904
ap-northeast-1,eu-west-1,1,304,304
ap-northeast-1,sa-east-1,1,389,389
ap-northeast-1,us-east-1,1,222,222
ap-northeast-1,us-west-2,1,145,145
ap-southeast-2,ap-northeast-1,2,125,187
ap-southeast-2,eu-west-1,2,254,383
ap-southeast-2,sa-east-1,2,308,463
ap-southeast-2,us-east-1,2,199,298
ap-southeast-2,us-west-2,2,140,209
eu-west-1,ap-northeast-1,1,2880,2880
eu-west-1,ap-southeast-2,1,8510,8510
eu-west-1,sa-east-1,1,7874,7874
eu-west-1,us-east-1,1,101,101
eu-west-1,us-west-2,1,174,174
sa-east-1,ap-northeast-1,2,263,397
sa-east-1,ap-southeast-2,2,312,468
sa-east-1,eu-west-1,2,177,265
sa-east-1,us-east-1,2,112,167
sa-east-1,us-west-2,2,172,259
us-east-1,ap-northeast-1,1,12766,12766
us-east-1,ap-southeast-2,2,11180,18430
us-east-1,eu-west-1,2,1850,3667
us-east-1,sa-east-1,2,10286,17535
us-east-1,us-west-2,2,68,102
us-west-2,ap-northeast-1,2,3620,7191
us-west-2,ap-southeast-2,2,7312,12687
us-west-2,eu-west-1,2,116,174
us-west-2,sa-east-1,2,7628,13003
us-west-2,us-east-1,2,64,96
