cert_hash,region,proposed_ms,received_ms,voted_ms,committed_ms
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,ap-northeast-1,,1778640772647,1778640772647,
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,ap-southeast-2,,1778640778311,1778640778311,
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,eu-west-1,,1778640763548,1778640763548,
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,sa-east-1,,1778640777416,1778640777416,
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,us-east-1,1778640759881,,,
29efd1ab324c0acb86d18ba9b7f3d1065c6f24f3ebcb987b8d4ebfff1275ae7b,us-west-2,,1778640759983,1778640759983,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,ap-northeast-1,,1778640777656,,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,ap-southeast-2,,1778640777682,,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,eu-west-1,,1778640777616,,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,sa-east-1,1778640777527,,,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,us-east-1,,1778640777583,1778640777583,
45e8955c48045970b707b408963b30959b36d78ade7c8781cb1a6a047efc5144,us-west-2,,1778640777613,,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,ap-northeast-1,,1778640771976,1778640771976,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,ap-southeast-2,,1778640777472,1778640777472,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,eu-west-1,,1778640764959,1778640763806,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,sa-east-1,,1778640777788,1778640777788,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,us-east-1,,1778640764881,1778640764881,
4a3afe79cca47ed45210a8709cdf9f34995951dd81ccc6d5bdda8321687cc182,us-west-2,1778640764785,,,
4bf9afe49bdff28c6dabfbcb075d86d20db6305819e32161c6225c51fa5db8d6,ap-northeast-1,,1778640775583,,
